HL,112,-74,13
HL,112,-74,13
HR,302,-64,13
HR,301,-64,13
HL,112,-74,13
HL,112,-74,13
HR,301,-64,13
HR,301,-64,13
HL,112,-74,13
HL,112,-74,13
HR,301,-64,13
HR,301,-64,13
HL,112,-74,13
HL,112,-74,13
HR,301,-64,13
HR,301,-64,13
HL,112,-74,12
HL,112,-74,12
HR,301,-64,13
HR,301,-64,13
HL,112,-74,12
HL,112,-74,12
HR,301,-64,13
HR,301,-64,14
HL,112,-74,12
HL,111,-74,12
HR,301,-64,14
HR,301,-64,14
HL,111,-74,11
HL,111,-74,11
HR,301,-64,14
HR,301,-64,14
HL,111,-74,11
HL,111,-74,11
HR,301,-64,14
HR,301,-64,14
HL,111,-74,11
HL,111,-74,11
HR,301,-64,14
HR,301,-64,14
HL,111,-74,10
HL,111,-74,10
HR,301,-64,14
HL,111,-74,10
HL,111,-74,10
HR,301,-64,14
HR,301,-64,14
HL,111,-74,10
HL,111,-74,11
HR,301,-64,14
HR,301,-64,14
HL,110,-74,11
HL,110,-74,11
HR,301,-64,15
HR,301,-64,15
HL,110,-74,11
HL,110,-74,11
HR,301,-64,15
HR,301,-64,15
HL,110,-74,11
HL,110,-74,11
HR,301,-64,14
HR,301,-64,14
HL,110,-75,11
HL,110,-75,11
HR,300,-64,14
HR,300,-64,14
HL,110,-75,11
HL,110,-75,11
HR,300,-64,14
HR,300,-64,14
HL,110,-75,12
HL,110,-75,12
HR,300,-64,14
HR,300,-64,14
HL,110,-75,12
HL,110,-75,12
HR,300,-64,14
HR,300,-64,14
HL,110,-75,12
HL,110,-75,12
HR,300,-64,14
HR,300,-64,14
HL,110,-75,12
HL,110,-75,12
HR,300,-64,14
HR,300,-64,14
HL,109,-75,11
HL,109,-75,11
HR,300,-64,14
HR,300,-64,15
HL,109,-75,11
HL,109,-75,10
HR,300,-64,15
HR,300,-63,15
HL,109,-75,10
HL,109,-75,10
HR,300,-63,15
HR,300,-63,16
HL,109,-75,9
HL,109,-75,9
HR,300,-63,16
HR,300,-63,16
HL,108,-75,8
HL,108,-75,8
